
time (s)       v("OUT" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/sample02_paper_vertical_high3_full_frozen_fft/psf" ?result "tran") (V)

 1.29851e-06    8.84180e-01   
 1.39851e-06    2.34141e+00   
 1.49851e-06    1.66553e+00   
 1.59850e-06    1.52051e+00   
 1.69851e-06    2.47852e+00   
 1.79851e-06    7.64648e-01   
 1.89851e-06    3.13154e+00   
 1.99850e-06    2.53125e-01   
 2.09850e-06    3.46992e+00   
 2.19851e-06    1.07227e-01   
 2.29851e-06    3.41455e+00   
 2.39851e-06    3.61230e-01   
 2.49851e-06    2.97686e+00   
 2.59851e-06    9.55371e-01   
 2.69851e-06    2.26230e+00   
 2.79850e-06    1.74902e+00   
 2.89850e-06    1.43789e+00   
 2.99850e-06    2.55410e+00   
 3.09850e-06    6.99609e-01   
 3.19851e-06    3.18076e+00   
 3.29851e-06    2.20605e-01   
 3.39851e-06    3.48223e+00   
 3.49850e-06    1.15137e-01   
 3.59850e-06    3.38643e+00   
 3.69850e-06    4.06934e-01   
 3.79850e-06    2.91533e+00   
 3.89850e-06    1.02832e+00   
 3.99851e-06    2.18145e+00   
 4.09851e-06    1.83164e+00   
 4.19851e-06    1.35703e+00   
 4.29850e-06    2.62705e+00   
 4.39850e-06    6.37207e-01   
 4.49850e-06    3.22822e+00   
 4.59850e-06    1.92480e-01   
 4.69850e-06    3.49102e+00   
 4.79851e-06    1.26563e-01   
 4.89851e-06    3.35479e+00   
 4.99851e-06    4.56152e-01   
 5.09850e-06    2.85117e+00   
 5.19850e-06    1.10303e+00   
 5.29850e-06    2.09971e+00   
 5.39850e-06    1.91426e+00   
 5.49850e-06    1.27793e+00   
 5.59850e-06    2.69912e+00   
 5.69851e-06    5.78320e-01   
 5.79850e-06    3.27129e+00   
 5.89850e-06    1.67871e-01   
 5.99850e-06    3.49629e+00   
 6.09850e-06    1.42383e-01   
 6.19850e-06    3.31963e+00   
 6.29850e-06    5.08887e-01   
 6.39850e-06    2.78525e+00   
 6.49850e-06    1.18037e+00   
 6.59850e-06    2.01709e+00   
 6.69850e-06    1.99775e+00   
 6.79850e-06    1.19883e+00   
 6.89850e-06    2.76855e+00   
 6.99850e-06    5.22070e-01   
 7.09850e-06    3.31084e+00   
 7.19850e-06    1.46777e-01   
 7.29851e-06    3.49629e+00   
 7.39850e-06    1.61719e-01   
 7.49850e-06    3.28096e+00   
 7.59850e-06    5.64258e-01   
 7.69850e-06    2.71582e+00   
 7.79851e-06    1.25859e+00   
 7.89850e-06    1.93447e+00   
 7.99851e-06    2.07949e+00   
 8.09850e-06    1.12148e+00   
 8.19850e-06    2.83535e+00   
 8.29851e-06    4.68457e-01   
 8.39850e-06    3.34688e+00   
 8.49851e-06    1.30078e-01   
 8.59850e-06    3.49277e+00   
 8.69851e-06    1.85449e-01   
 8.79850e-06    3.23877e+00   
 8.89850e-06    6.23145e-01   
 8.99850e-06    2.64463e+00   
 9.09850e-06    1.33770e+00   
 9.19850e-06    1.85098e+00   
 9.29850e-06    2.16211e+00   
 9.39851e-06    1.04590e+00   
 9.49850e-06    2.90039e+00   
 9.59851e-06    4.18359e-01   
 9.69850e-06    3.37939e+00   
 9.79850e-06    1.17773e-01   
 9.89850e-06    3.48486e+00   
 9.99850e-06    2.13574e-01   
 1.00985e-05    3.19307e+00   
 1.01985e-05    6.84668e-01   
 1.02985e-05    2.57168e+00   
 1.03985e-05    1.41855e+00   
 1.04985e-05    1.76836e+00   
 1.05985e-05    2.24297e+00   
 1.06985e-05    9.72949e-01   
 1.07985e-05    2.96279e+00   
 1.08985e-05    3.71777e-01   
 1.09985e-05    3.40752e+00   
 1.10985e-05    1.08984e-01   
 1.11985e-05    3.47344e+00   
 1.12985e-05    2.45215e-01   
 1.13985e-05    3.14385e+00   
 1.14985e-05    7.48828e-01   
 1.15985e-05    2.49697e+00   
 1.16985e-05    1.50029e+00   
 1.17985e-05    1.68574e+00   
 1.18985e-05    2.32207e+00   
 1.19985e-05    9.00879e-01   
 1.20985e-05    3.02168e+00   
 1.21985e-05    3.28711e-01   
 1.22985e-05    3.43213e+00   
 1.23985e-05    1.03711e-01   
 1.24985e-05    3.45762e+00   
 1.25985e-05    2.80371e-01   
 1.26985e-05    3.09111e+00   
 1.27985e-05    8.14746e-01   
 1.28985e-05    2.41963e+00   
 1.29985e-05    1.58291e+00   
 1.30985e-05    1.60225e+00   
 1.31985e-05    2.40117e+00   
 1.32985e-05    8.31445e-01   
 1.33985e-05    3.07793e+00   
 1.34985e-05    2.89160e-01   
 1.35985e-05    3.45322e+00   
 1.36985e-05    1.03711e-01   
 1.37985e-05    3.43828e+00   
 1.38985e-05    3.19043e-01   
 1.39985e-05    3.03574e+00   
