
time (s)       v("DONE" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/full_adc_bypass_800m/psf" ?result "tran") (V)

 1.98505e-07    1.80000e+00   
 2.98505e-07    1.80000e+00   
 3.98505e-07    1.80000e+00   
 4.98505e-07    1.80000e+00   
 5.98505e-07    1.80000e+00   
 6.98505e-07    1.80000e+00   
 7.98505e-07    1.80000e+00   
 8.98505e-07    1.80000e+00   
 9.98505e-07    1.80000e+00   
 1.09850e-06    1.80000e+00   
 1.19850e-06    1.80000e+00   
 1.29851e-06    1.80000e+00   
 1.39850e-06    1.80000e+00   
 1.49850e-06    1.80000e+00   
 1.59850e-06    1.80000e+00   
 1.69851e-06    1.80000e+00   
 1.79850e-06    1.80000e+00   
 1.89850e-06    1.80000e+00   
 1.99850e-06    1.80000e+00   
 2.09850e-06    1.80000e+00   
 2.19850e-06    1.80000e+00   
 2.29850e-06    1.80000e+00   
 2.39850e-06    1.80000e+00   
 2.49850e-06    1.80000e+00   
 2.59850e-06    1.80000e+00   
 2.69850e-06    1.80000e+00   
 2.79850e-06    1.80000e+00   
 2.89850e-06    1.80000e+00   
 2.99850e-06    1.80000e+00   
 3.09850e-06    1.80000e+00   
 3.19850e-06    1.80000e+00   
 3.29850e-06    1.80000e+00   
 3.39850e-06    1.80000e+00   
 3.49850e-06    1.80000e+00   
 3.59850e-06    1.80000e+00   
 3.69850e-06    1.80000e+00   
 3.79850e-06    1.80000e+00   
 3.89850e-06    1.80000e+00   
 3.99851e-06    1.80000e+00   
 4.09851e-06    1.80000e+00   
 4.19851e-06    1.80000e+00   
 4.29850e-06    1.80000e+00   
 4.39850e-06    1.80000e+00   
 4.49850e-06    1.80000e+00   
 4.59851e-06    1.80000e+00   
 4.69851e-06    1.80000e+00   
 4.79851e-06    1.80000e+00   
 4.89851e-06    1.80000e+00   
 4.99851e-06    1.80000e+00   
 5.09850e-06    1.80000e+00   
 5.19850e-06    1.80000e+00   
 5.29850e-06    1.80000e+00   
 5.39850e-06    1.80000e+00   
 5.49851e-06    1.80000e+00   
 5.59851e-06    1.80000e+00   
 5.69851e-06    1.80000e+00   
 5.79850e-06    1.80000e+00   
 5.89850e-06    1.80000e+00   
 5.99850e-06    1.80000e+00   
 6.09850e-06    1.80000e+00   
 6.19851e-06    1.80000e+00   
 6.29851e-06    1.80000e+00   
 6.39851e-06    1.80000e+00   
 6.49851e-06    1.80000e+00   
 6.59850e-06    1.80000e+00   
 6.69850e-06    1.80000e+00   
 6.79850e-06    1.80000e+00   
 6.89850e-06    1.80000e+00   
 6.99850e-06    1.80000e+00   
 7.09851e-06    1.80000e+00   
 7.19851e-06    1.80000e+00   
 7.29851e-06    1.80000e+00   
 7.39850e-06    1.80000e+00   
 7.49850e-06    1.80000e+00   
 7.59850e-06    1.80000e+00   
 7.69850e-06    1.80000e+00   
 7.79851e-06    1.80000e+00   
 7.89850e-06    1.80000e+00   
 7.99851e-06    1.80000e+00   
 8.09850e-06    1.80000e+00   
 8.19850e-06    1.80000e+00   
 8.29851e-06    1.80000e+00   
 8.39850e-06    1.80000e+00   
 8.49851e-06    1.80000e+00   
 8.59850e-06    1.80000e+00   
 8.69851e-06    1.80000e+00   
 8.79850e-06    1.80000e+00   
 8.89850e-06    1.80000e+00   
 8.99851e-06    1.80000e+00   
 9.09850e-06    1.80000e+00   
 9.19851e-06    1.80000e+00   
 9.29850e-06    1.80000e+00   
 9.39851e-06    1.80000e+00   
 9.49850e-06    1.80000e+00   
 9.59851e-06    1.80000e+00   
 9.69850e-06    1.80000e+00   
 9.79850e-06    1.80000e+00   
 9.89851e-06    1.80000e+00   
 9.99850e-06    1.80000e+00   
 1.00985e-05    1.80000e+00   
 1.01985e-05    1.80000e+00   
 1.02985e-05    1.80000e+00   
 1.03985e-05    1.80000e+00   
 1.04985e-05    1.80000e+00   
 1.05985e-05    1.80000e+00   
 1.06985e-05    1.80000e+00   
 1.07985e-05    1.80000e+00   
 1.08985e-05    1.80000e+00   
 1.09985e-05    1.80000e+00   
 1.10985e-05    1.80000e+00   
 1.11985e-05    1.80000e+00   
 1.12985e-05    1.80000e+00   
 1.13985e-05    1.80000e+00   
 1.14985e-05    1.80000e+00   
 1.15985e-05    1.80000e+00   
 1.16985e-05    1.80000e+00   
 1.17985e-05    1.80000e+00   
 1.18985e-05    1.80000e+00   
 1.19985e-05    1.80000e+00   
 1.20985e-05    1.80000e+00   
 1.21985e-05    1.80000e+00   
 1.22985e-05    1.80000e+00   
 1.23985e-05    1.80000e+00   
 1.24985e-05    1.80000e+00   
 1.25985e-05    1.80000e+00   
 1.26985e-05    1.80000e+00   
 1.27985e-05    1.80000e+00   
 1.28985e-05    1.80000e+00   
